Averaging kernel etc. information for: ClO_Methanol
       p/hPa      VR/km      HR/km
      146.78    2.95968    616.274
         100    4.76643     518.08
     68.1292    3.22415    453.229
     46.4159    3.03568    392.563
     31.6228    3.21173    300.729
     21.5443    3.37964    266.234
      14.678    3.47194    242.672
          10    3.54431    233.998
     6.81292    3.64318    236.928
     4.64159    3.87159    248.752
     3.16228    4.33074    269.422
     2.15443    4.33941    301.611
      1.4678    3.31871    357.306
           1     2.8837    470.379
    0.681292    2.94957    128.247
    0.464159    3.22774    132.006
    0.316228    3.61238    130.407
    0.215443    4.28285    139.655
     0.14678    5.90176     141.33
         0.1    8.40024    141.179
   0.0464159    10.6846    139.012
   0.0215443    14.2611    136.462
        0.01    19.1219    133.025
  0.00464159    24.9063    130.755
  0.00215443     26.759    128.337
       0.001    23.7386    125.308
