Averaging kernel etc. information for: SO2
       p/hPa      VR/km      HR/km
     316.228    2.72882    343.699
     215.443    2.80552    228.669
      146.78    2.82198    216.505
         100    2.81392    198.021
     68.1292    2.81921    186.111
     46.4159    2.84591    178.079
     31.6228     2.9173    171.745
     21.5443    3.03084    169.162
      14.678    3.17319    165.418
          10    3.34795    164.137
     6.81292    3.56874    163.884
     4.64159    3.85989    164.884
     3.16228    4.27446    168.275
     2.15443    4.89928    174.758
      1.4678    5.62984    183.042
           1     6.4413    193.573
    0.681292    7.88811     199.71
    0.464159    8.98759    205.425
    0.316228    10.5946    207.771
    0.215443    12.9602    207.523
     0.14678    17.8482    203.576
         0.1      23.07    192.371
   0.0464159    25.9155    181.896
   0.0215443    28.5216    175.031
        0.01    28.7898    171.128
  0.00464159    27.9041    169.022
  0.00215443    27.6692    168.088
       0.001    27.5527    167.067
