Averaging kernel etc. information for: CO
       p/hPa      VR/km      HR/km
     316.228    3.46476    736.897
     215.443    4.89496    681.758
      146.78    6.19716    575.604
         100    5.27401    453.162
     68.1292     4.8375     381.19
     46.4159    4.91995    412.389
     31.6228    5.31138    386.636
     21.5443    5.51854    378.054
      14.678    5.28797    390.428
          10    4.94601    421.598
     6.81292    4.74636    330.809
     4.64159      4.562    298.012
     3.16228    4.51631    290.257
     2.15443    4.53903    235.094
      1.4678    4.10727    219.639
           1     4.0435    221.883
    0.681292    3.78704    202.795
    0.464159    3.71037    199.498
    0.316228    3.76011    205.358
    0.215443    3.65222    180.417
     0.14678    3.26993     175.47
         0.1    4.47005    172.146
   0.0464159    5.54897    149.364
   0.0215443     5.4929    162.884
        0.01    5.53564    148.878
  0.00464159     5.6566    158.424
  0.00215443    5.93274    174.015
       0.001    8.19132    164.473
 0.000464159    8.77378     153.19
