Averaging kernel etc. information for: HNO3
       p/hPa      VR/km      HR/km
     316.228    4.62183    541.437
     215.443     6.0447    502.039
      146.78    3.53615    450.058
         100    3.53379    420.655
     68.1292    3.43813    416.663
     46.4159    3.52966    426.029
     31.6228    3.93786    456.218
     21.5443    3.85451    527.295
      14.678    3.74994    236.845
          10    3.78036    247.865
     6.81292    3.94576    268.717
     4.64159    4.27082    301.411
     3.16228     4.8531    356.085
     2.15443    4.97588    430.685
      1.4678    3.96894    528.809
           1    3.80632    728.844
    0.681292    4.87077    121.619
    0.464159    6.03375    121.584
    0.316228    6.76785     126.85
    0.215443    8.04081    134.163
     0.14678    11.0787    137.697
         0.1    12.4243    134.934
   0.0464159    14.5963    131.522
   0.0215443    17.2298    129.639
        0.01    21.8956    127.299
