Averaging kernel etc. information for: H2O
       p/hPa      VR/km      HR/km
     316.228    1.38503    137.943
     261.016    1.67013    184.185
     215.443    3.06315    232.583
     177.828    2.87482    263.762
      146.78    3.29288    265.718
     121.153    2.97248     248.55
         100    3.18657    233.148
     82.5404     3.1245    238.353
     68.1292     3.1004    252.842
     56.2341    3.10564    246.225
     46.4159    3.13611    248.521
     38.3119    3.15073    257.398
     31.6228    3.18826    271.837
     26.1016    3.20421    284.759
     21.5443    3.24602    289.754
     17.7828    3.25697    292.018
      14.678    3.28177    297.198
     12.1153    3.27993    305.578
          10    3.27783    315.655
     8.25404    3.27337    323.879
     6.81292    3.27388    333.298
     5.62341    3.27288     344.53
     4.64159     3.2828    356.458
     3.83119    3.28835    365.383
     3.16228    3.31791    372.541
     2.61016    3.32962    382.697
     2.15443    3.38106    394.996
     1.77828     3.3759    403.512
      1.4678     3.3225    405.456
     1.21153    2.30539    431.859
           1    2.68097    404.024
    0.681292    3.24628    416.656
    0.464159    3.22617    435.796
    0.316228    3.29313    489.019
    0.215443    3.46511    534.771
     0.14678    3.62535    644.468
         0.1    5.58944    713.674
   0.0464159     8.3756    697.026
   0.0215443    10.4096    631.909
        0.01     11.539    517.225
  0.00464159    10.2578    471.572
  0.00215443    6.92234    487.358
       0.001    6.94451    691.021
 0.000464159    9.14614    939.549
