Averaging kernel etc. information for: ClO
       p/hPa      VR/km      HR/km
      146.78    2.82825    648.353
         100    4.87738    496.033
     68.1292    3.05427    453.056
     46.4159    2.90089    416.181
     31.6228    2.94316    377.126
     21.5443    3.03041    331.454
      14.678    3.14026    294.952
          10    3.26266    281.947
     6.81292    3.42706    283.069
     4.64159    3.67554    293.743
     3.16228    4.06663    314.036
     2.15443    4.04789     346.43
      1.4678       3.21    392.772
           1    2.84724    488.562
    0.681292    2.90467    135.789
    0.464159    3.14757    130.172
    0.316228    3.50193    132.974
    0.215443    4.02669    136.322
     0.14678    5.46628    140.799
         0.1    8.01159    140.719
   0.0464159     10.741    139.372
   0.0215443    14.5232    138.036
        0.01    19.4885    135.599
  0.00464159    24.5723    133.674
  0.00215443      26.46    132.207
       0.001    22.6505    130.123
