Averaging kernel etc. information for: O3
       p/hPa      VR/km      HR/km
     316.228    1.64907    544.191
     261.016    3.43998    486.369
     215.443    3.40744    409.309
     177.828    3.37848    342.609
      146.78    2.49716    392.273
     121.153    2.19988     346.11
         100    2.42153    309.604
     82.5404    2.56254    291.841
     68.1292    2.62216     288.48
     56.2341      2.576    285.126
     46.4159    2.49492    287.125
     38.3119    2.48009    293.126
     31.6228    2.49352    305.356
     26.1016     2.5254    326.259
     21.5443    2.57313    359.241
     17.7828    2.56631    397.465
      14.678    2.58253     424.77
     12.1153    2.66697    442.528
          10    2.74926     460.32
     8.25404    2.80888    452.066
     6.81292    2.85686    450.217
     5.62341    2.90506    452.726
     4.64159    2.96561    457.302
     3.83119    3.03223    462.258
     3.16228    3.11388    466.608
     2.61016    3.24915    469.921
     2.15443    3.40527    472.828
     1.77828    3.58194    478.859
      1.4678    3.56713     490.25
     1.21153    2.74572    525.703
           1    3.10246    518.074
    0.681292    3.53968    663.997
    0.464159    3.49838     677.96
    0.316228    3.63354    625.898
    0.215443    3.42373     604.88
     0.14678    2.93811    608.305
         0.1    4.12311    641.456
   0.0464159    5.39818    651.304
   0.0215443    5.40034     561.69
        0.01    5.48804    558.543
  0.00464159    5.69105    571.651
  0.00215443    5.98911    714.354
       0.001    7.94411    796.789
 0.000464159    9.45847       1077
