Averaging kernel etc. information for: CH3Cl
       p/hPa      VR/km      HR/km
      146.78    3.09083    589.448
         100    5.62824    526.523
     68.1292    4.61943    478.481
     46.4159    4.86216    458.127
     31.6228    5.87318    456.955
     21.5443    6.92461    492.452
      14.678    7.94042    569.303
          10    8.95738    681.788
     6.81292    9.93771    772.223
     4.64159    10.7702    855.231
     3.16228    11.8122    939.927
     2.15443    12.2356    1035.07
      1.4678     12.844    1134.44
           1    15.2029    1141.81
    0.681292    18.2683    169.377
    0.464159    21.5106    165.244
    0.316228    23.3856    160.675
    0.215443    24.0496    156.666
     0.14678    22.0128    152.811
         0.1    21.1698    148.946
   0.0464159    20.7642    146.062
   0.0215443    20.5037    143.539
        0.01    20.3937    141.813
