Averaging kernel etc. information for: BrO
       p/hPa      VR/km      HR/km
      146.78    3.28184    462.637
         100    5.38387    403.092
     68.1292    5.57324    344.958
     46.4159     4.4635    267.355
     31.6228    4.38699    224.993
     21.5443     4.6046    203.107
      14.678    4.81644    190.445
          10    5.02284    182.956
     6.81292    5.22225    178.675
     4.64159    5.50267    176.575
     3.16228    5.87376    176.321
     2.15443     6.3391     178.16
      1.4678    6.83036    182.703
           1    7.50136    190.796
    0.681292    8.50042    202.999
    0.464159    9.66679      219.6
    0.316228    11.1266    239.813
    0.215443    15.8604    261.274
     0.14678    18.3447    278.249
         0.1    20.6267    283.515
   0.0464159    22.9903    287.737
   0.0215443    25.7306    304.111
        0.01    27.4602    335.228
  0.00464159    28.6103    358.134
