Averaging kernel etc. information for: HCN
       p/hPa      VR/km      HR/km
         100    4.57098    840.762
     68.1292    5.46845    692.542
     46.4159    8.39058    563.503
     31.6228    10.2619    489.856
     21.5443      9.027     431.31
      14.678    8.99533    393.221
          10    9.05993    378.157
     6.81292    9.32547    381.286
     4.64159    9.74446    396.949
     3.16228    10.3274    422.215
     2.15443    11.0343    455.748
      1.4678    11.8711    497.172
           1     12.803    553.646
    0.681292    13.8094    655.253
    0.464159    15.0982    834.346
    0.316228    20.6593    1062.32
    0.215443    26.2689    1346.47
     0.14678    25.3062       1650
         0.1    23.5156    168.111
   0.0464159     20.667    140.619
   0.0215443    18.4329    133.644
        0.01    17.2203    130.492
