Averaging kernel etc. information for: HCl
       p/hPa      VR/km      HR/km
      146.78    2.68898    391.484
         100    2.72392    335.407
     68.1292    2.70703    298.079
     46.4159    2.69663    264.288
     31.6228    2.70041    229.675
     21.5443    2.70816    209.239
      14.678    2.71886    196.963
          10    2.73218    193.168
     6.81292    2.75545    194.549
     4.64159    2.79451     201.17
     3.16228     2.8612    213.171
     2.15443    2.97235    231.457
      1.4678    3.15396    257.421
           1    3.54112    293.173
    0.681292    4.24382    336.886
    0.464159    5.14871    393.208
    0.316228    5.83576    452.761
    0.215443    6.31928    522.417
     0.14678    6.27752      615.9
         0.1    7.50111    744.718
   0.0464159    10.3285    119.419
   0.0215443    13.7537    116.473
        0.01    17.8191    114.179
  0.00464159    25.5951    113.323
  0.00215443    30.0765    112.187
       0.001    28.5017    109.825
