Averaging kernel etc. information for: N2O_640
       p/hPa      VR/km      HR/km
      146.78    5.93676     814.98
         100    5.84756    651.885
     68.1292    6.02726    581.997
     46.4159     5.5382    508.493
     31.6228    4.22788    458.243
     21.5443    4.03142    419.542
      14.678    3.96083    389.649
          10      3.873     372.68
     6.81292    3.94142    303.267
     4.64159    4.04179     286.61
     3.16228    4.27861    282.883
     2.15443    4.65105    285.245
      1.4678    5.41832    295.527
           1    6.93029    323.077
    0.681292    8.29647    404.803
    0.464159    12.0477    502.811
    0.316228    8.77211    651.808
    0.215443    6.24427     970.76
     0.14678     7.7445       1650
         0.1    6.31109    129.801
   0.0464159    10.2799    121.062
   0.0215443    14.0843    121.459
        0.01    18.3132    121.476
  0.00464159    24.7287    121.329
  0.00215443    27.1625    120.744
       0.001    24.3274    119.406
