Averaging kernel etc. information for: N2O
       p/hPa      VR/km      HR/km
      146.78    4.18596    643.626
         100    5.75349    495.132
     68.1292     5.5594    428.321
     46.4159    5.37025    376.302
     31.6228    5.36477    335.703
     21.5443    5.68312    286.724
      14.678    5.91324    263.555
          10    6.17189    260.252
     6.81292    6.41986    268.204
     4.64159    6.72698    282.724
     3.16228    7.07275      303.8
     2.15443    7.68639    335.195
      1.4678     8.8756    381.238
           1     9.9829    438.046
    0.681292    12.6934    539.871
    0.464159    13.7941    669.559
    0.316228     9.5318    897.811
    0.215443    8.40361    1249.23
     0.14678    11.7693       1650
         0.1    9.34026    127.063
   0.0464159    12.2908    124.179
   0.0215443    15.7695    123.634
        0.01    19.5173     123.27
