Averaging kernel etc. information for: HCl
       p/hPa      VR/km      HR/km
      146.78    2.68954    387.184
         100    2.72751    350.734
     68.1292    2.70942    330.543
     46.4159    2.69913    307.394
     31.6228     2.7032    267.763
     21.5443    2.71098    233.889
      14.678    2.72143    214.422
          10    2.73342    208.118
     6.81292    2.75504    207.894
     4.64159    2.79253    213.345
     3.16228    2.85757    226.878
     2.15443    2.96725    248.555
      1.4678     3.1472    276.395
           1    3.53617    312.905
    0.681292    4.24591    358.725
    0.464159    5.14122    407.433
    0.316228    5.81938    459.142
    0.215443    6.26667    521.519
     0.14678    6.32254    604.174
         0.1    7.43144    714.525
   0.0464159    10.3213    119.517
   0.0215443    13.7404    116.142
        0.01    17.7738    113.633
  0.00464159     25.434    112.446
  0.00215443     29.744    111.251
       0.001    28.2954    109.173
