Averaging kernel etc. information for: CH3CN
       p/hPa      VR/km      HR/km
      146.78     3.2344    775.999
         100    4.31323    698.062
     68.1292    8.14605    572.425
     46.4159    5.87863    516.981
     31.6228    5.97787    472.799
     21.5443     6.3865    432.352
      14.678    6.75153    407.925
          10    7.23675    410.045
     6.81292    7.83266    436.507
     4.64159    8.48852    479.062
     3.16228    9.25028    532.572
     2.15443    7.45148    599.264
      1.4678    5.08511    692.622
           1    5.35016    865.471
    0.681292    2.97977    124.448
    0.464159    3.53768    118.677
    0.316228    4.23199    122.216
    0.215443     5.0898    127.247
     0.14678    7.47742    129.145
         0.1    9.18961    125.033
   0.0464159    12.1836    121.089
   0.0215443    15.9722    120.048
        0.01    21.1093    119.927
  0.00464159    22.6024    118.306
  0.00215443    20.3711     119.14
       0.001    19.9648    128.213
