Averaging kernel etc. information for: HCN
       p/hPa      VR/km      HR/km
         100    4.62109     851.39
     68.1292    5.45621    704.176
     46.4159    8.10055     564.49
     31.6228    10.1699     484.14
     21.5443    8.94641    424.369
      14.678    9.01595    382.849
          10    9.05602    366.396
     6.81292    9.35948    371.296
     4.64159    9.83023     389.96
     3.16228     10.453    418.388
     2.15443    11.2228    454.934
      1.4678     12.151    499.285
           1    13.1758    559.409
    0.681292    14.1918    670.475
    0.464159    15.4852     858.67
    0.316228    20.6496    1099.95
    0.215443     26.266    1362.92
     0.14678    25.4242       1650
         0.1    23.6339    163.427
   0.0464159    20.5943    138.223
   0.0215443    17.8789    131.902
        0.01    16.4891    129.079
