Averaging kernel etc. information for: N2O
       p/hPa      VR/km      HR/km
      146.78    4.19536    695.503
         100    5.70987    504.727
     68.1292    5.51615    441.985
     46.4159    5.32126    401.882
     31.6228    5.27647    362.015
     21.5443     5.6764    292.553
      14.678    5.92874    265.592
          10    6.19583    259.444
     6.81292    6.43329    264.522
     4.64159    6.71475    276.064
     3.16228    7.03086    293.606
     2.15443    7.58773    319.558
      1.4678     8.7286    360.189
           1    9.84544    415.429
    0.681292    12.6417    517.379
    0.464159    13.6032    646.077
    0.316228    9.46055    880.165
    0.215443      8.339    1267.12
     0.14678    11.5315       1650
         0.1    8.91527    126.308
   0.0464159    12.1652    123.169
   0.0215443    15.4022    122.425
        0.01    19.1476    121.953
