Averaging kernel etc. information for: HO2
       p/hPa      VR/km      HR/km
      146.78     3.4847    907.483
         100    5.38805    761.888
     68.1292     6.9371    668.859
     46.4159    5.26681    574.897
     31.6228    4.75882    505.213
     21.5443    4.56678    465.961
      14.678    4.28657    452.793
          10    3.99152    463.144
     6.81292    3.88785    425.112
     4.64159    4.13303    394.136
     3.16228    4.73466    368.254
     2.15443    5.19252    509.449
      1.4678    5.12212     680.51
           1    4.94928    930.982
    0.681292    4.81429    619.782
    0.464159    4.23432    384.535
    0.316228    3.73091    221.221
    0.215443    3.99633    194.101
     0.14678     4.8681    175.113
         0.1    7.79298    177.835
   0.0464159     10.678    188.247
   0.0215443    13.0281    210.554
        0.01    16.1912    219.944
  0.00464159    21.7354     220.44
  0.00215443    26.5039    217.151
       0.001    24.8632    200.168
