Averaging kernel etc. information for: ClO
       p/hPa      VR/km      HR/km
      146.78    2.77543    570.883
         100    3.46778    496.028
     68.1292    3.03816    440.095
     46.4159    2.91478     393.49
     31.6228    2.95956    346.067
     21.5443    3.04564    297.955
      14.678    3.14779    271.611
          10    3.24969    265.086
     6.81292    3.39755    269.914
     4.64159    3.63446    282.668
     3.16228    4.01169    304.287
     2.15443    3.99859    338.284
      1.4678    3.19608    387.312
           1    2.84278    483.355
    0.681292    2.89729    133.862
    0.464159    3.13868    130.676
    0.316228    3.49618    131.551
    0.215443    4.14812    136.595
     0.14678    5.57137    138.198
         0.1     8.3348    138.017
   0.0464159    10.6801    137.841
   0.0215443    14.3505    137.362
        0.01    19.3445    135.273
  0.00464159    24.7735    133.608
  0.00215443     26.314    131.767
       0.001    23.0647    129.358
