Averaging kernel etc. information for: HOCl
       p/hPa      VR/km      HR/km
      146.78    3.41659    719.064
         100    5.19683    579.486
     68.1292    5.37809    482.509
     46.4159    4.62779     412.77
     31.6228    4.75863     354.89
     21.5443    5.08385    299.941
      14.678    5.34443    268.489
          10    5.67676    256.788
     6.81292     5.9819    257.877
     4.64159    6.35937    268.394
     3.16228     6.7547    287.857
     2.15443    6.42373    318.289
      1.4678    5.46499    370.464
           1    3.77772     461.41
    0.681292    4.17413    136.661
    0.464159    5.37591    143.724
    0.316228    6.23191    147.701
    0.215443    7.56034     154.46
     0.14678     10.582    155.513
         0.1    13.7267    149.871
   0.0464159    17.4599    145.154
   0.0215443    22.4025    141.703
        0.01    23.9007    139.294
  0.00464159     22.697    137.468
  0.00215443    22.0894    136.706
       0.001    21.9556    135.655
