Averaging kernel etc. information for: CH3CN
       p/hPa      VR/km      HR/km
      146.78     3.1189    758.985
         100    5.04444    693.774
     68.1292    6.00961    551.678
     46.4159    5.37035    495.035
     31.6228    5.74477    443.355
     21.5443    6.22572    392.998
      14.678    6.62046    362.307
          10    7.11408    366.994
     6.81292    7.74573    400.696
     4.64159    8.42398     450.53
     3.16228     9.2187    510.491
     2.15443    7.45646    583.468
      1.4678    5.02083    685.206
           1    5.35244    869.273
    0.681292    2.97399    121.179
    0.464159    3.49809    118.947
    0.316228    4.18642    122.502
    0.215443    5.23733    129.139
     0.14678    7.67389    130.773
         0.1    9.50363    129.078
   0.0464159    12.2741    128.427
   0.0215443    15.6029    129.224
        0.01    20.1781    190.731
  0.00464159    20.6453    185.296
  0.00215443    19.3617    168.729
       0.001    19.1029    160.192
