Averaging kernel etc. information for: N2O_640
       p/hPa      VR/km      HR/km
      146.78     5.8153    715.797
         100    5.76041    627.153
     68.1292    5.86708    569.379
     46.4159    5.08048    500.765
     31.6228    4.07889    446.954
     21.5443    3.89394     401.79
      14.678    3.79084    364.184
          10    3.75098    340.227
     6.81292    3.87306     289.75
     4.64159    4.03118    278.814
     3.16228     4.2415    275.699
     2.15443    4.64853    278.616
      1.4678    5.45095    289.432
           1     6.9231    317.101
    0.681292    8.28458    399.692
    0.464159    12.0314    499.026
    0.316228    8.78899    649.236
    0.215443    6.26105    971.786
     0.14678    7.86939       1650
         0.1    6.33863    128.742
   0.0464159      10.32    120.754
   0.0215443    14.0365    121.387
        0.01    18.3239    121.637
  0.00464159    24.6275    121.597
  0.00215443    26.7005    121.009
       0.001    23.8701     119.49
