Averaging kernel etc. information for: OH
       p/hPa      VR/km      HR/km
     68.1292    2.78761    446.918
     46.4159    3.58261    203.362
     31.6228    2.68318    183.552
     21.5443    2.66844    177.101
      14.678    2.66825     170.83
          10     2.6687    168.715
     6.81292     2.6675    166.293
     4.64159    2.66727    165.969
     3.16228    2.66748    164.563
     2.15443    2.66772    163.969
      1.4678    2.66832     163.32
           1    2.66965    163.151
    0.681292    2.66999    163.291
    0.464159    2.67154    163.231
    0.316228    2.67471    163.585
    0.215443     2.6826    163.028
     0.14678    2.70219    162.903
         0.1    2.73571    161.744
   0.0681292    2.77268    161.562
   0.0464159    2.79316     158.87
   0.0316228    2.78654    163.565
   0.0215443    2.78443    176.377
    0.014678    2.81488    180.658
        0.01    2.90078    175.736
  0.00681292    3.11574     172.66
  0.00464159    4.00307    171.932
  0.00316228    5.90628      180.2
  0.00215443    3.71478    198.222
