Averaging kernel etc. information for: CH3OH
       p/hPa      VR/km      HR/km
      146.78    2.71856    155.907
         100    3.47703    215.037
     68.1292     6.2038    460.841
     46.4159    5.65267    439.034
     31.6228    3.76653    473.704
     21.5443    3.40277    293.796
      14.678    3.71514    263.749
          10    4.01575    257.202
     6.81292    4.42761    267.602
     4.64159    5.07705    292.085
     3.16228    5.68171    334.146
     2.15443    5.81749    403.447
      1.4678    4.97755    489.984
           1    3.53321    637.965
    0.681292    3.97254    123.374
    0.464159    5.32535    123.096
    0.316228    6.31594    124.027
    0.215443    7.50682    127.251
     0.14678    10.6387    127.689
         0.1    12.9681    122.726
   0.0464159     16.858     118.11
   0.0215443    21.9913    115.713
        0.01    23.4141    114.328
  0.00464159    22.0736    113.522
  0.00215443    21.3945    112.861
       0.001    21.2523    111.996
