Averaging kernel etc. information for: CH3Cl
       p/hPa      VR/km      HR/km
      146.78    3.20857    550.094
         100    5.88642    493.874
     68.1292    4.42494    459.965
     46.4159      4.809    454.952
     31.6228     5.8687    458.794
     21.5443     6.9115    498.421
      14.678    8.00096    577.514
          10    9.01263    688.371
     6.81292    10.0093    778.436
     4.64159    10.8564    860.482
     3.16228    11.9579    944.431
     2.15443    12.5813    1039.93
      1.4678     13.402       1141
           1    15.9558    1148.11
    0.681292    19.0445    269.396
    0.464159    22.2051    283.561
    0.316228     24.043     294.29
    0.215443    24.7852    301.894
     0.14678     22.785    305.627
         0.1     21.868    305.259
   0.0464159    21.4306    303.475
   0.0215443    21.1358     299.46
        0.01    20.9763    295.331
