Averaging kernel etc. information for: HCl
Useful range: 100 hPa to 0.15 hPa (16.0 to 61.2 km)
Mean vertical resln. over this range: 3.5 km, (2.7 -- 5.9 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       2.000  -999.99      0.00
  681.29205       2.000  -999.99      0.00
  464.15887       2.000  -999.99      0.00
  316.22775       2.000  -999.99      0.00
  215.44347       2.000  -999.99      0.00
  146.77992      0.3299     2.71    398.07
  100.00000      0.2259     2.71    341.16
   68.12920      0.1746     2.70    280.57
   46.41589      0.1489     2.69    253.18
   31.62278      0.1384     2.69    227.22
   21.54435      0.1495     2.70    210.71
   14.67799      0.1886     2.73    203.74
   10.00000      0.2130     2.74    198.37
    6.81292      0.2344     2.76    200.21
    4.64159      0.2668     2.80    207.64
    3.16228      0.3066     2.86    217.18
    2.15443      0.3498     2.96    229.54
    1.46780      0.4006     3.10    252.31
    1.00000      0.4590     3.37    289.47
    0.68129      0.5449     4.04    338.95
    0.46416      0.6216     4.96    400.13
    0.31623      0.7050     5.57    460.64
    0.21544      0.8455     5.86    526.70
    0.14678       1.144     5.75    604.20
    0.10000       1.334     7.01    707.72
    0.04642       3.539    10.43    122.00
    0.02154       3.882    14.70    115.17
    0.01000       3.970    19.31    112.76
    0.00464       3.993    24.83    111.37
    0.00215       3.998    29.04    110.56
    0.00100       4.000    25.38    109.09
    0.00046       4.000  -999.99      0.00
    0.00022       4.000  -999.99      0.00
    0.00010       4.000  -999.99      0.00
    0.00005       4.000  -999.99      0.00
    0.00002       4.000  -999.99      0.00
    0.00001       4.000  -999.99      0.00
