Averaging kernel etc. information for: Temperature_HR
Useful range: 316 hPa to 1.00E-03 hPa (8.0 to 96.0 km)
Mean vertical resln. over this range: 5.5 km, (2.7 -- 9.6 km)
      p/hPa  prec./K       VR/km     HR/km
 1000.00000       5.000  -999.99      0.00
  825.40417       5.625  -999.99      0.00
  681.29205       6.250  -999.99      0.00
  562.34131       6.875  -999.99      0.00
  464.15887       7.500  -999.99      0.00
  383.11868       8.125  -999.99      0.00
  316.22775       1.032     2.68    165.71
  261.01572      0.6734     4.07    166.27
  215.44347      0.8467     4.88    166.48
  177.82794      0.7662     4.76    166.26
  146.77992      0.6669     4.46    165.96
  121.15276      0.7133     4.72    165.92
  100.00000      0.7224     4.41    166.27
   82.54042      0.6203     3.78    166.25
   68.12920      0.5827     3.86    165.58
   56.23413      0.5748     3.69    164.99
   46.41589      0.5563     3.64    164.94
   38.31187      0.5535     3.61    165.20
   31.62278      0.5565     3.62    165.36
   26.10157      0.5624     3.66    165.25
   21.54435      0.5736     3.74    165.07
   17.78279      0.5895     3.84    165.09
   14.67799      0.6085     4.00    165.35
   12.11528      0.6283     4.11    165.63
   10.00000      0.6549     4.33    165.80
    8.25404      0.6693     4.49    165.81
    6.81292      0.6996     4.56    165.76
    5.62341      0.7458     5.13    165.78
    4.64159      0.7507     5.16    165.71
    3.83119      0.7738     5.18    165.23
    3.16228      0.8430     5.65    165.14
    2.61016      0.8749     6.11    165.52
    2.15443      0.8592     5.66    166.16
    1.77828      0.9481     5.58    168.46
    1.46780       1.181     6.93    173.00
    1.21153       1.327     8.02    176.05
    1.00000       1.184     6.68    165.67
    0.68129       1.105     7.20    159.67
    0.46416       1.177     8.01    164.26
    0.31623       1.220     7.63    169.54
    0.21544       1.429     7.36    174.63
    0.14678       2.036     6.68    182.41
    0.10000       2.254     5.99    174.31
    0.04642       2.185     7.12    173.04
    0.02154       2.562     7.53    192.24
    0.01000       2.809     7.82    207.48
    0.00464       2.756     7.49    210.91
    0.00215       2.847     7.74    208.64
    0.00100       3.067     9.62    223.23
    0.00046       3.914    11.31    262.46
    0.00022       5.358    10.29    348.44
    0.00010       7.538    11.88    361.04
    0.00005       20.00  -999.99      0.00
    0.00002       20.00  -999.99      0.00
    0.00001       20.00  -999.99      0.00
