Averaging kernel etc. information for: HNO3
Useful range: 215 hPa to 3.2 hPa (10.7 to 39.9 km)
Mean vertical resln. over this range: -414.6 km, (-1000.0 -- 4.3 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       4.000  -999.99      0.00
  681.29205       4.000  -999.99      0.00
  464.15887       4.000  -999.99      0.00
  316.22775      0.4559     4.88    562.57
  215.44347      0.3657     4.10    480.99
  146.77992      0.3994     3.41    363.52
  100.00000      0.4252     3.13    306.76
   68.12920      0.4774     3.18    322.84
   46.41589      0.5505     3.33    342.84
   31.62278      0.6695     3.66    400.40
   21.54435      0.8431     4.32    459.77
   14.67799       1.028  -999.99 *********
   10.00000       1.185  -999.99 *********
    6.81292       1.337  -999.99 *********
    4.64159       1.505  -999.99 *********
    3.16228       1.728  -999.99 *********
    2.15443       2.085  -999.99 *********
    1.46780       2.750  -999.99 *********
    1.00000       3.144  -999.99 *********
    0.68129       9.445  -999.99 *********
    0.46416       9.712  -999.99 *********
    0.31623       9.849  -999.99 *********
    0.21544       9.921  -999.99 *********
    0.14678       9.963  -999.99 *********
    0.10000       9.976  -999.99 *********
    0.04642       9.989  -999.99 *********
    0.02154       9.998  -999.99 *********
    0.01000       10.00  -999.99 *********
    0.00464       10.00  -999.99 *********
    0.00215       10.00  -999.99 *********
    0.00100       10.00  -999.99 *********
    0.00046       10.00  -999.99 *********
    0.00022       10.00  -999.99 *********
    0.00010       10.00  -999.99 *********
    0.00005       10.00  -999.99 *********
    0.00002       10.00  -999.99 *********
    0.00001       10.00  -999.99 *********
