Averaging kernel etc. information for: BrO
Useful range: 10 hPa to 3.2 hPa (32.0 to 39.9 km)
Mean vertical resln. over this range: 5.4 km, (5.1 -- 5.8 km)
      p/hPa  prec./pptv    VR/km
 1000.00000       1000.  -999.99
  681.29205       1000.  -999.99
  464.15887       1000.  -999.99
  316.22775       1000.  -999.99
  215.44347       1000.  -999.99
  146.77992       372.7     3.69
  100.00000       211.9     5.37
   68.12920       163.9     4.90
   46.41589       135.7     4.34
   31.62278       119.1     4.32
   21.54435       117.1     5.17
   14.67799       117.7     5.02
   10.00000       119.4     5.09
    6.81292       123.1     5.20
    4.64159       128.9     5.43
    3.16228       136.6     5.77
    2.15443       146.5     6.22
    1.46780       158.5     6.61
    1.00000       172.0     7.00
    0.68129       189.4     7.94
    0.46416       209.0     8.81
    0.31623       230.6     9.39
    0.21544       253.1    10.35
    0.14678       275.6    12.55
    0.10000       297.5    14.14
    0.04642       318.2    14.93
    0.02154       334.6    14.97
    0.01000       344.1    14.88
    0.00464       349.7    14.60
    0.00215       377.2    14.30
    0.00100       526.1     5.28
    0.00046       1000.  -999.99
    0.00022       1000.  -999.99
    0.00010       1000.  -999.99
    0.00005       1000.  -999.99
    0.00002       1000.  -999.99
    0.00001       1000.  -999.99
