Averaging kernel etc. information for: CH3Cl
Useful range: 147 hPa to 4.6 hPa (13.3 to 37.4 km)
Mean vertical resln. over this range: 6.5 km, (3.5 -- 9.9 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       500.0  -999.99      0.00
  681.29205       500.0  -999.99      0.00
  464.15887       500.0  -999.99      0.00
  316.22775       500.0  -999.99      0.00
  215.44347       500.0  -999.99      0.00
  146.77992       210.7     3.53    441.96
  100.00000       122.1     4.81    350.27
   68.12920       102.6     4.28    320.30
   46.41589       99.82     4.68    298.84
   31.62278       104.3     5.31    314.39
   21.54435       119.4     6.56    360.08
   14.67799       133.2     7.97    407.08
   10.00000       144.6     8.64    443.35
    6.81292       155.7     9.35    522.15
    4.64159       166.2     9.93    588.52
    3.16228       175.1    10.66    680.41
    2.15443       194.4    11.21    782.31
    1.46780       241.7    10.82    875.40
    1.00000       282.1    13.26   1018.51
    0.68129       498.5    21.43    232.80
    0.46416       499.3    24.22    229.80
    0.31623       499.7    25.76    226.81
    0.21544       499.9    25.67    224.56
    0.14678       499.9    23.39    222.38
    0.10000       500.0    22.71    219.66
    0.04642       500.0    22.34    217.99
    0.02154       500.0    22.10    217.27
    0.01000       500.0    21.96    216.93
    0.00464       500.0    21.88    216.99
    0.00215       500.0    21.80    216.56
    0.00100       500.0    21.69    216.06
    0.00046       500.0  -999.99      0.00
    0.00022       500.0  -999.99      0.00
    0.00010       500.0  -999.99      0.00
    0.00005       500.0  -999.99      0.00
    0.00002       500.0  -999.99      0.00
    0.00001       500.0  -999.99      0.00
