Averaging kernel etc. information for: HOCl
Useful range: 10 hPa to 2.2 hPa (32.0 to 42.5 km)
Mean vertical resln. over this range: 6.0 km, (5.8 -- 6.4 km)
      p/hPa  prec./pptv    VR/km
 1000.00000       3000.  -999.99
  681.29205       3000.  -999.99
  464.15887       3000.  -999.99
  316.22775       3000.  -999.99
  215.44347       3000.  -999.99
  146.77992       816.8     3.52
  100.00000       432.7     5.33
   68.12920       335.2     4.85
   46.41589       301.7     4.51
   31.62278       281.7     4.39
   21.54435       277.1     4.66
   14.67799       298.1     5.66
   10.00000       312.1     5.85
    6.81292       321.3     5.76
    4.64159       339.3     6.01
    3.16228       366.9     6.23
    2.15443       432.7     6.37
    1.46780       610.2     5.79
    1.00000       883.3     4.65
    0.68129       2151.     5.02
    0.46416       2472.     5.77
    0.31623       2651.     6.67
    0.21544       2781.     7.66
    0.14678       2872.    11.08
    0.10000       2885.    11.54
    0.04642       2948.    14.43
    0.02154       2989.    19.51
    0.01000       2998.    20.25
    0.00464       2999.    19.69
    0.00215       3000.    19.71
    0.00100       3000.    19.80
    0.00046       3000.  -999.99
    0.00022       3000.  -999.99
    0.00010       3000.  -999.99
    0.00005       3000.  -999.99
    0.00002       3000.  -999.99
    0.00001       3000.  -999.99
