Averaging kernel etc. information for: N2O-190
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 6.2 km, (3.9 -- 8.7 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       50.00  -999.99      0.00
  100.00000       20.79     3.86    519.14
   68.12920       16.32     5.58    425.35
   46.41589       14.59     5.11    393.48
   31.62278       14.21     5.10    377.19
   21.54435       15.13     5.76    326.61
   14.67799       15.51     5.87    292.53
   10.00000       16.04     6.06    284.14
    6.81292       16.76     6.24    290.10
    4.64159       17.61     6.51    304.59
    3.16228       18.52     6.85    327.41
    2.15443       19.20     7.32    359.70
    1.46780       19.18     8.08    405.03
    1.00000       18.64     8.65    463.63
    0.68129       17.32     9.78    562.02
    0.46416       15.36    11.14    673.30
    0.31623       16.12    11.10    823.00
    0.21544       20.44    10.10   1066.69
    0.14678       27.35    10.34   1582.13
    0.10000       174.2    12.01    127.33
    0.04642       185.4    13.57    123.92
    0.02154       196.0    16.15    123.12
    0.01000       199.0    22.46    122.45
    0.00464       200.0  -999.99      0.00
    0.00215       200.0  -999.99      0.00
    0.00100       200.0  -999.99      0.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
