Averaging kernel etc. information for: HO2
Useful range: 22 hPa to 0.032 hPa (26.5 to 71.9 km)
Mean vertical resln. over this range: 4.9 km, (3.9 -- 10.2 km)
      p/hPa  prec./pptv    VR/km
 1000.00000   1.000e+04  -999.99
  681.29205   1.000e+04  -999.99
  464.15887   1.000e+04  -999.99
  316.22775   1.000e+04  -999.99
  215.44347   1.000e+04  -999.99
  146.77992       298.1     5.40
  100.00000       167.6     5.81
   68.12920       118.8     5.58
   46.41589       102.7     4.74
   31.62278       100.1     4.08
   21.54435       107.4     4.03
   14.67799       130.5     4.42
   10.00000       155.1     4.15
    6.81292       187.8     3.90
    4.64159       225.7     4.03
    3.16228       266.7     4.42
    2.15443       283.9     4.88
    1.46780       321.7     4.89
    1.00000       386.6     4.65
    0.68129       642.9     4.74
    0.46416       1085.     4.55
    0.31623       1778.     4.12
    0.21544       2400.     4.03
    0.14678       3025.     4.49
    0.10000       2999.     6.75
    0.04642       3517.    10.18
    0.02154       4053.    13.25
    0.01000       4287.    14.50
    0.00464       4370.    18.99
    0.00215       4434.    26.68
    0.00100       4749.    27.54
    0.00046   1.000e+04  -999.99
    0.00022   1.000e+04  -999.99
    0.00010   1.000e+04  -999.99
    0.00005   1.000e+04  -999.99
    0.00002   1.000e+04  -999.99
    0.00001   1.000e+04  -999.99
