Averaging kernel etc. information for: SO2
Useful range: 215 hPa to 10 hPa (10.7 to 32.0 km)
Mean vertical resln. over this range: 3.1 km, (3.0 -- 3.5 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       10.00  -999.99      0.00
  681.29205       10.00  -999.99      0.00
  464.15887       10.00  -999.99      0.00
  316.22775       6.231     2.93    241.21
  215.44347       4.595     3.08    206.72
  146.77992       3.839     3.00    193.44
  100.00000       3.711     2.97    189.74
   68.12920       3.636     2.98    182.12
   46.41589       3.731     3.00    179.59
   31.62278       3.888     3.04    175.89
   21.54435       4.191     3.16    175.28
   14.67799       4.859     3.33    174.74
   10.00000       5.450     3.49    174.82
    6.81292       5.947     3.67    177.88
    4.64159       6.562     3.98    183.54
    3.16228       7.172     4.38    189.33
    2.15443       7.735     5.06    195.60
    1.46780       8.310     5.83    205.00
    1.00000       8.800     6.50    216.92
    0.68129       9.269     7.89    228.36
    0.46416       9.565     9.02    240.25
    0.31623       9.755    10.86    246.06
    0.21544       9.864    13.31    248.80
    0.14678       9.927    18.93    246.30
    0.10000       9.934    22.06    239.50
    0.04642       9.966    24.54    224.24
    0.02154       9.992    27.96    211.79
    0.01000       9.998    28.99    206.39
    0.00464       9.999    28.52    203.65
    0.00215       10.00    28.56    202.79
    0.00100       10.00    28.64    201.55
    0.00046       10.00  -999.99      0.00
    0.00022       10.00  -999.99      0.00
    0.00010       10.00  -999.99      0.00
    0.00005       10.00  -999.99      0.00
    0.00002       10.00  -999.99      0.00
    0.00001       10.00  -999.99      0.00
