Averaging kernel etc. information for: ClO
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 3.4 km, (3.0 -- 3.9 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       3.000  -999.99      0.00
  681.29205       3.000  -999.99      0.00
  464.15887       3.000  -999.99      0.00
  316.22775       3.000  -999.99      0.00
  215.44347       3.000  -999.99      0.00
  146.77992      0.3593     5.14    616.11
  100.00000      0.1567     3.26    370.26
   68.12920      0.1227     3.07    298.99
   46.41589      0.1089     3.01    261.78
   31.62278      0.1080     3.05    249.25
   21.54435      0.1255     3.24    247.43
   14.67799      0.1319     3.34    254.51
   10.00000      0.1379     3.39    269.39
    6.81292      0.1464     3.49    289.80
    4.64159      0.1568     3.65    314.57
    3.16228      0.1704     3.79    345.74
    2.15443      0.2004     3.91    391.33
    1.46780      0.2599     3.52    453.65
    1.00000      0.3535     3.03    555.12
    0.68129       1.031     4.09    238.33
    0.46416       1.464     3.15    210.66
    0.31623       1.779     3.52    236.73
    0.21544       2.078     4.11    255.38
    0.14678       2.379     5.62    276.28
    0.10000       2.467     8.45    288.75
    0.04642       2.685    10.83    304.54
    0.02154       2.911    14.58    319.26
    0.01000       2.979    19.63    329.85
    0.00464       2.995    23.91    339.46
    0.00215       2.999    24.79    343.20
    0.00100       3.000    21.11    340.84
    0.00046       3.000  -999.99      0.00
    0.00022       3.000  -999.99      0.00
    0.00010       3.000  -999.99      0.00
    0.00005       3.000  -999.99      0.00
    0.00002       3.000  -999.99      0.00
    0.00001       3.000  -999.99      0.00
