Averaging kernel etc. information for: N2O
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 6.7 km, (5.5 -- 8.9 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       20.90     4.38    510.62
  100.00000       18.46     6.92    464.46
   68.12920       16.43     6.10    413.60
   46.41589       15.25     5.79    352.16
   31.62278       14.52     5.47    320.55
   21.54435       14.59     5.64    320.97
   14.67799       15.49     6.03    306.11
   10.00000       16.20     6.28    303.95
    6.81292       16.78     6.42    315.06
    4.64159       17.53     6.68    354.63
    3.16228       18.38     7.07    399.20
    2.15443       19.05     7.54    416.35
    1.46780       19.02     8.30    438.02
    1.00000       18.53     8.87    479.89
    0.68129       17.25     9.89    564.26
    0.46416       15.33    11.04    713.83
    0.31623       16.18    11.25    937.67
    0.21544       20.62    10.51   1268.94
    0.14678       27.52    10.31   1723.40
    0.10000       174.5    11.83    255.49
    0.04642       186.7    13.92    256.56
    0.02154       196.5    20.11    255.23
    0.01000       199.2    38.41    256.02
    0.00464       200.0  -999.99      0.00
    0.00215       200.0  -999.99      0.00
    0.00100       200.0  -999.99      0.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
