Averaging kernel etc. information for: HCN
Useful range: 10 hPa to 0.10 hPa (32.0 to 64.0 km)
Mean vertical resln. over this range: 12.0 km, (8.6 -- 17.9 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       1000.  -999.99      0.00
  681.29205       1000.  -999.99      0.00
  464.15887       1000.  -999.99      0.00
  316.22775       1000.  -999.99      0.00
  215.44347       1000.  -999.99      0.00
  146.77992       1000.  -999.99      0.00
  100.00000       65.10     6.56    617.63
   68.12920       37.21     7.57    502.11
   46.41589       29.99     7.77    449.54
   31.62278       28.26     7.58    428.62
   21.54435       28.42     8.21    405.60
   14.67799       28.98     8.58    382.26
   10.00000       29.58     8.63    381.91
    6.81292       30.66     8.88    404.59
    4.64159       32.17     9.22    432.32
    3.16228       33.94     9.71    465.77
    2.15443       35.95    10.27    500.87
    1.46780       38.17    10.93    546.24
    1.00000       40.32    11.39    610.14
    0.68129       41.20    11.53    713.75
    0.46416       41.48    12.14    874.63
    0.31623       40.78    12.87   1092.29
    0.21544       40.01    15.24   1375.70
    0.14678       42.89    17.53   1563.89
    0.10000       106.2    17.88    284.91
    0.04642       201.2    18.24    235.53
    0.02154       332.0    18.00    228.15
    0.01000       515.4    17.57    227.72
    0.00464       1000.  -999.99      0.00
    0.00215       1000.  -999.99      0.00
    0.00100       1000.  -999.99      0.00
    0.00046       1000.  -999.99      0.00
    0.00022       1000.  -999.99      0.00
    0.00010       1000.  -999.99      0.00
    0.00005       1000.  -999.99      0.00
    0.00002       1000.  -999.99      0.00
    0.00001       1000.  -999.99      0.00
