Averaging kernel etc. information for: CH3CN
Useful range: 0.00e+00 hPa to 0.00e+00 hPa (Inf to Inf km)
Mean vertical resln. over this range: -1000.0 km, (-1000.0 -- -1000.0 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       2000.  -999.99      0.00
  681.29205       2000.  -999.99      0.00
  464.15887       2000.  -999.99      0.00
  316.22775       2000.  -999.99      0.00
  215.44347       2000.  -999.99      0.00
  146.77992       174.1     4.42    759.11
  100.00000       55.36     5.83    703.74
   68.12920       41.06     5.35    570.67
   46.41589       36.31     5.00    507.41
   31.62278       34.03     5.17    454.58
   21.54435       35.60     6.26    406.24
   14.67799       37.39     6.62    378.37
   10.00000       39.22     6.86    382.92
    6.81292       41.98     7.24    414.61
    4.64159       45.66     7.60    461.60
    3.16228       50.05     8.18    518.23
    2.15443       60.16     8.22    587.56
    1.46780       86.22     7.36    685.38
    1.00000       160.5     5.95    865.31
    0.68129       851.5     4.40    122.17
    0.46416       1189.     3.50    118.58
    0.31623       1396.     4.16    122.80
    0.21544       1583.     5.22    129.69
    0.14678       1745.     7.71    130.87
    0.10000       1806.     9.75    127.54
    0.04642       1902.    12.21    124.85
    0.02154       1978.    15.90    123.30
    0.01000       1995.    21.10    122.28
    0.00464       1999.    22.20    120.12
    0.00215       2000.    20.37    120.81
    0.00100       2000.    20.03    124.94
    0.00046       2000.  -999.99      0.00
    0.00022       2000.  -999.99      0.00
    0.00010       2000.  -999.99      0.00
    0.00005       2000.  -999.99      0.00
    0.00002       2000.  -999.99      0.00
    0.00001       2000.  -999.99      0.00
