Averaging kernel etc. information for: N2O-640
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 4.6 km, (3.6 -- 6.3 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       27.64     5.22   1138.78
  100.00000       26.59     4.89    692.56
   68.12920       21.41     5.58    604.31
   46.41589       15.98     4.52    525.88
   31.62278       13.40     3.72    468.60
   21.54435       12.22     3.62    426.96
   14.67799       12.86     3.88    384.26
   10.00000       12.71     3.80    334.33
    6.81292       12.68     3.82    288.59
    4.64159       13.22     4.08    276.82
    3.16228       13.91     4.42    275.72
    2.15443       14.50     4.97    280.10
    1.46780       14.59     5.63    291.25
    1.00000       14.11     6.33    317.23
    0.68129       13.08     7.36    396.51
    0.46416       11.59     8.80    493.41
    0.31623       11.88     9.40    640.84
    0.21544       15.10     8.31    964.70
    0.14678       21.51     7.83   1532.14
    0.10000       139.6     7.29    127.63
    0.04642       170.3    10.25    120.61
    0.02154       191.5    14.23    122.01
    0.01000       198.0    18.48    122.24
    0.00464       199.5    23.91    121.52
    0.00215       199.9    25.97    121.00
    0.00100       200.0    22.77    120.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
