Averaging kernel etc. information for: Temperature_HR
Useful range: 316 hPa to 1.00e-03 hPa (8.0 to 96.0 km)
Mean vertical resln. over this range: 5.0 km, (2.6 -- 10.4 km)
      p/hPa  prec./K       VR/km     HR/km
 1000.00000       5.000  -999.99      0.00
  825.40417       5.625  -999.99      0.00
  681.29205       6.250  -999.99      0.00
  562.34131       6.875  -999.99      0.00
  464.15887       7.500  -999.99      0.00
  383.11868       8.125  -999.99      0.00
  316.22775       1.034     2.61    167.69
  261.01572      0.6490     4.01    166.45
  215.44347      0.7821     3.63    165.25
  177.82794      0.7461     4.40    164.50
  146.77992      0.6648     4.34    164.48
  121.15276      0.6672     4.33    165.22
  100.00000      0.7138     4.64    166.28
   82.54042      0.6647     4.02    166.50
   68.12920      0.5881     3.81    165.65
   56.23413      0.5742     3.82    164.82
   46.41589      0.5612     3.68    164.75
   38.31187      0.5470     3.65    165.16
   31.62278      0.5436     3.60    165.34
   26.10157      0.5415     3.59    165.09
   21.54435      0.5418     3.58    164.91
   17.78279      0.5488     3.63    165.08
   14.67799      0.5587     3.69    165.35
   12.11528      0.5717     3.77    165.50
   10.00000      0.5853     3.85    165.45
    8.25404      0.6003     3.94    165.34
    6.81292      0.6122     4.00    165.27
    5.62341      0.6287     4.07    165.26
    4.64159      0.6448     4.15    165.39
    3.83119      0.6538     4.21    165.40
    3.16228      0.6734     4.27    165.28
    2.61016      0.7020     4.39    165.30
    2.15443      0.7165     4.44    165.40
    1.77828      0.7562     4.43    166.28
    1.46780      0.8803     4.44    168.99
    1.21153       1.011     4.81    171.85
    1.00000      0.9088     4.25    164.53
    0.68129      0.8337     5.54    160.53
    0.46416      0.9200     6.03    166.08
    0.31623       1.042     6.20    169.02
    0.21544       1.275     6.01    170.33
    0.14678       1.835     5.52    175.38
    0.10000       2.056     5.42    171.33
    0.04642       2.252     6.92    178.37
    0.02154       2.786     7.93    209.05
    0.01000       3.244     9.73    244.92
    0.00464       3.382    10.22    264.01
    0.00215       3.346     9.52    265.76
    0.00100       3.394    10.37    282.27
    0.00046       3.909    12.96    319.40
    0.00022       4.959    11.29    383.49
    0.00010       7.239    12.24    447.76
    0.00005       20.00  -999.99      0.00
    0.00002       20.00  -999.99      0.00
    0.00001       20.00  -999.99      0.00
