Averaging kernel etc. information for: N2O
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 6.0 km, (4.4 -- 8.6 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       13.42     3.86    181.87
  146.77992       12.06     5.26    175.79
  100.00000       11.66     4.60    170.78
   68.12920       11.38     4.40    165.27
   46.41589       11.48     4.40    164.30
   31.62278       11.97     4.69    163.79
   21.54435       13.22     5.34    165.75
   14.67799       14.15     5.63    168.81
   10.00000       14.80     5.86    171.79
    6.81292       15.52     6.10    175.96
    4.64159       16.33     6.41    182.20
    3.16228       17.15     6.75    191.48
    2.15443       17.75     7.21    205.99
    1.46780       17.66     7.98    226.54
    1.00000       16.99     8.55    253.04
    0.68129       15.74     9.70    318.23
    0.46416       13.91    11.16    443.58
    0.31623       14.32    11.29    614.72
    0.21544       16.74    10.32    883.14
    0.14678       23.72    10.10   1676.10
    0.10000       132.4     7.17    120.97
    0.04642       200.0  -999.99      0.00
    0.02154       200.0  -999.99      0.00
    0.01000       200.0  -999.99      0.00
    0.00464       200.0  -999.99      0.00
    0.00215       200.0  -999.99      0.00
    0.00100       200.0  -999.99      0.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
